global_env_steps,update_idx,phase,rl_variant,init_mode,steps_per_sec,elapsed_sec,eta_sec,mean_episode_return,mean_terminal_lambda2_norm,eval_terminal_lambda2_norm_mean,eval_terminal_lambda2_mean,mean_init_edges,mean_init_lambda2,mean_init_build_runtime_sec,mean_init_cache_hit,policy_loss,value_loss,entropy,approx_kl,learning_rate,selector_loss,selector_recall_at_k,selector_k_mean,selector_learning_rate,best_eval_metric
2000,1,phase_lite,full,path,276.9159059293605,7.222409248352051,65.00168323516846,0.547843638739782,0.4660863852657328,0.8887483640230409,9.209935418478217,8.90677966101695,0.0,0.0,0.0,-0.002674761548405513,0.03023510565981269,3.1922920383512974,0.001334457192569971,0.00028421052631578947,0.0,0.0,0.0,0.0,0.8887483640230409
4000,3,phase_lite,full,path,203.06824088340096,19.69781184196472,78.79124736785889,0.5812349952844229,0.49325938218595505,0.8952169052803537,9.252228380673133,9.105,0.0,0.0,0.0,-0.005843282880960032,0.027217607712373137,3.228965498507023,0.003923504787962884,0.00025263157894736836,0.0,0.0,0.0,0.0,0.8952169052803538
6000,5,phase_lite,full,path,185.96409924877176,32.26429200172424,75.28334800402324,0.6690100798794772,0.5663588989658335,0.8952169052803538,9.252228380673134,9.1,0.0,0.0,0.0,-0.013371837347222026,0.02850371555541642,2.9942666105926037,0.0017901979372254573,0.00022105263157894738,0.0,0.0,0.0,0.0,0.8952169052803538
8000,7,phase_lite,full,path,178.65483913098643,44.77908372879028,67.16862559318542,0.6804662279022075,0.576031094014935,0.8952169052803537,9.252228380673133,9.035,0.0,0.0,0.0,-0.00735815406369511,0.01869307129527442,3.0990151911973953,0.007874171365983784,0.0001894736842105263,0.0,0.0,0.0,0.0,0.8952169052803538
10000,9,phase_lite,full,path,174.87338337751757,57.18423128128052,57.18423128128051,0.676666395398525,0.572694276255443,0.8962950531338121,9.270863474837396,9.105,0.0,0.0,0.0,0.0024279174976982176,0.01640480813512113,3.0227474868297577,0.014271873369580135,0.00015789473684210527,0.0,0.0,0.0,0.0,0.8962950531338121
12000,11,phase_lite,full,path,172.14528664451362,69.70855975151062,46.472373167673744,0.6770595914492811,0.5731938054544541,0.8752983433593311,9.015820229722221,9.08,0.0,0.0,0.0,-0.002537070104153827,0.01102640953467926,3.010011997073889,0.010030554774857592,0.00012631578947368418,0.0,0.0,0.0,0.0,0.8962950531338121
14000,13,phase_lite,full,path,170.52919613805096,82.09737873077393,35.18459088461739,0.6974468052525175,0.5901372923532681,0.8895195853575919,9.189557861522752,9.105,0.0,0.0,0.0,-0.010407782814581878,0.005646429977787193,2.923091597855091,0.026862565289775375,9.473684210526315e-05,0.0,0.0,0.0,0.0,0.8962950531338121
16000,15,phase_lite,full,path,169.40859621687616,94.44621086120605,23.611552715301514,0.7067128471037002,0.5977009791313566,0.8962950531338121,9.270863474837396,9.14,0.0,0.0,0.0,0.005690904363291338,0.007515535697166342,2.9495686031877995,0.017851973316282965,6.315789473684209e-05,0.0,0.0,0.0,0.0,0.8962950531338121
18000,17,phase_lite,full,path,168.0616753665092,107.10353779792786,11.900393088658651,0.7458634028715777,0.630308124340463,0.8962950531338121,9.270863474837396,9.15,0.0,0.0,0.0,0.006368326488882303,0.010404697801277507,2.755847007036209,0.02112063590902835,3.1578947368421045e-05,0.0,0.0,0.0,0.0,0.8962950531338121
20000,19,phase_lite,full,path,166.90258053136836,119.83038210868835,0.0,0.7749451966785241,0.6549507862838005,0.8962950531338122,9.270863474837396,9.03,0.0,0.0,0.0,0.008215154710342176,0.011183678790985141,2.9376408234238625,0.018101080262567848,0.0,0.0,0.0,0.0,0.0,0.8962950531338122
